Prompt,Prompt_Type,Sheet,Stimulus,Question_Code,Question_Text,Question_Source,Answer,Answer_Key,Percentage,Perc_Baseline,Perc_Baseline_Numeric,Delta_Absolute,Population,Type,Options,NA,Study,Delta_Baseline,Absolute_Answers_GPT,Perc_GPT,Delta_GPT
Baseline,Baseline,Questions,baseline,Q7,Did you at anytime reply to bot recommendations?,Did you at anytime reply to bot recommendations?,Never used or seen Bot,Never used or seen Bot,5.5556,16.66666667,16.66666667,11.111066670000001,54,Mult,6,Y,1,11.11106667,,0.0,5.5556
Baseline,Baseline,Questions,baseline,Q7,Did you at anytime reply to bot recommendations?,Did you at anytime reply to bot recommendations?,No,No,1.8519,16.66666667,16.66666667,14.814766670000001,54,Mult,6,Y,1,14.81476667,,0.0,1.8519
Baseline,Baseline,Questions,baseline,Q7,Did you at anytime reply to bot recommendations?,Did you at anytime reply to bot recommendations?,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,74.0741,16.66666667,16.66666667,57.40743333,54,Mult,6,Y,1,57.40743333,,0.0,74.0741
Baseline,Baseline,Questions,baseline,Q7,Did you at anytime reply to bot recommendations?,Did you at anytime reply to bot recommendations?,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.96296667,,0.0,3.7037
Baseline,Baseline,Questions,baseline,Q7,Did you at anytime reply to bot recommendations?,Did you at anytime reply to bot recommendations?,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",11.1111,16.66666667,16.66666667,5.555566670000001,54,Mult,6,Y,1,5.555566667,,0.0,11.1111
Baseline,Baseline,Questions,baseline,Q7,Did you at anytime reply to bot recommendations?,Did you at anytime reply to bot recommendations?,,__NA__,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.96296667,,0.0,3.7037
EP01,Stimulus,answersEP01,ep01,Q1,How useful are bot recommendations as a PR author?,Q1,1,1,5.55555555555556,20,20.0,14.44444444444444,54,Likert,5,N,1,14.44444444444444,,,5.55555555555556
EP01,Stimulus,answersEP01,ep01,Q1,How useful are bot recommendations as a PR author?,Q1,2,2,11.1111111111111,20,20.0,8.8888888888889,54,Likert,5,N,1,8.8888888888889,,,11.1111111111111
EP01,Stimulus,answersEP01,ep01,Q1,How useful are bot recommendations as a PR author?,Q1,3,3,25.9259259259259,20,20.0,5.925925925925899,54,Likert,5,N,1,5.925925925925899,,,25.9259259259259
EP01,Stimulus,answersEP01,ep01,Q1,How useful are bot recommendations as a PR author?,Q1,4,4,37.037037037037,20,20.0,17.037037037037003,54,Likert,5,N,1,17.037037037037003,,,37.037037037037
EP01,Stimulus,answersEP01,ep01,Q1,How useful are bot recommendations as a PR author?,Q1,5,5,20.3703703703703,20,20.0,0.3703703703702992,54,Likert,5,N,1,0.3703703703702992,,,20.3703703703703
EP01,Stimulus,answersEP01,ep01,Q2,How useful are bot recommendations as a PR reviewer?,Q2,1,1,3.7037,20,20.0,16.2963,54,Likert,5,N,1,16.2963,,,3.7037
EP01,Stimulus,answersEP01,ep01,Q2,How useful are bot recommendations as a PR reviewer?,Q2,2,2,9.25926,20,20.0,10.74074,54,Likert,5,N,1,10.74074,,,9.25926
EP01,Stimulus,answersEP01,ep01,Q2,How useful are bot recommendations as a PR reviewer?,Q2,3,3,22.22222,20,20.0,2.22222,54,Likert,5,N,1,2.22222,,,22.22222
EP01,Stimulus,answersEP01,ep01,Q2,How useful are bot recommendations as a PR reviewer?,Q2,4,4,40.74074,20,20.0,20.740740000000002,54,Likert,5,N,1,20.740740000000002,,,40.74074
EP01,Stimulus,answersEP01,ep01,Q2,How useful are bot recommendations as a PR reviewer?,Q2,5,5,24.07407,20,20.0,4.074069999999999,54,Likert,5,N,1,4.074069999999999,,,24.07407
EP01,Stimulus,answersEP01,ep01,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,No,No,37.03704,50,50.0,12.962960000000002,54,Boolean,2,N,1,12.962960000000002,,,37.03704
EP01,Stimulus,answersEP01,ep01,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,Yes,Yes,62.96296,50,50.0,12.962960000000002,54,Boolean,2,N,1,12.962960000000002,,,62.96296
EP01,Stimulus,answersEP01,ep01,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,No,No,55.55556,50,50.0,5.55556,54,Boolean,2,N,1,5.55556,,,55.55556
EP01,Stimulus,answersEP01,ep01,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,Yes,Yes,44.44444,50,50.0,5.55556,54,Boolean,2,N,1,5.55556,,,44.44444
EP01,Stimulus,answersEP01,ep01,Q7,Did you at anytime reply to bot recommendations?,Q7,Never used or seen Bot,Never used or seen Bot,1.85185,16.66666667,16.66666667,14.81481667,54,Mult,6,Y,1,14.81481667,,,1.85185
EP01,Stimulus,answersEP01,ep01,Q7,Did you at anytime reply to bot recommendations?,Q7,No,No,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP01,Stimulus,answersEP01,ep01,Q7,Did you at anytime reply to bot recommendations?,Q7,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,31.48148,16.66666667,16.66666667,14.81481333,54,Mult,6,Y,1,14.81481333,,,31.48148
EP01,Stimulus,answersEP01,ep01,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",24.07407,16.66666667,16.66666667,7.4074033299999975,54,Mult,6,Y,1,7.4074033299999975,,,24.07407
EP01,Stimulus,answersEP01,ep01,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",16.66667,16.66666667,16.66666667,3.3299999984137685e-06,54,Mult,6,Y,1,3.3299999984137685e-06,,,16.66667
EP01,Stimulus,answersEP01,ep01,Q7,Did you at anytime reply to bot recommendations?,Q7,,__NA__,22.22222,16.66666667,16.66666667,5.555553329999999,54,Mult,6,Y,1,5.555553329999999,,,22.22222
EP02,Stimulus,answersEP02,ep02,Q1,How useful are bot recommendations as a PR author?,Q1,1,1,5.55556,20,20.0,14.44444,54,Likert,5,N,1,14.44444,,,5.55556
EP02,Stimulus,answersEP02,ep02,Q1,How useful are bot recommendations as a PR author?,Q1,2,2,12.96296,20,20.0,7.037039999999999,54,Likert,5,N,1,7.037039999999999,,,12.96296
EP02,Stimulus,answersEP02,ep02,Q1,How useful are bot recommendations as a PR author?,Q1,3,3,29.62963,20,20.0,9.629629999999999,54,Likert,5,N,1,9.629629999999999,,,29.62963
EP02,Stimulus,answersEP02,ep02,Q1,How useful are bot recommendations as a PR author?,Q1,4,4,37.03704,20,20.0,17.037039999999998,54,Likert,5,N,1,17.037039999999998,,,37.03704
EP02,Stimulus,answersEP02,ep02,Q1,How useful are bot recommendations as a PR author?,Q1,5,5,14.81481,20,20.0,5.18519,54,Likert,5,N,1,5.18519,,,14.81481
EP02,Stimulus,answersEP02,ep02,Q2,How useful are bot recommendations as a PR reviewer?,Q2,1,1,7.40741,20,20.0,12.592590000000001,54,Likert,5,N,1,12.592590000000001,,,7.40741
EP02,Stimulus,answersEP02,ep02,Q2,How useful are bot recommendations as a PR reviewer?,Q2,2,2,14.81481,20,20.0,5.18519,54,Likert,5,N,1,5.18519,,,14.81481
EP02,Stimulus,answersEP02,ep02,Q2,How useful are bot recommendations as a PR reviewer?,Q2,3,3,27.77778,20,20.0,7.77778,54,Likert,5,N,1,7.77778,,,27.77778
EP02,Stimulus,answersEP02,ep02,Q2,How useful are bot recommendations as a PR reviewer?,Q2,4,4,33.33333,20,20.0,13.333329999999997,54,Likert,5,N,1,13.333329999999997,,,33.33333
EP02,Stimulus,answersEP02,ep02,Q2,How useful are bot recommendations as a PR reviewer?,Q2,5,5,16.66667,20,20.0,3.33333,54,Likert,5,N,1,3.33333,,,16.66667
EP02,Stimulus,answersEP02,ep02,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,No,No,57.40741,50,50.0,7.407409999999999,54,Boolean,2,N,1,7.407409999999999,,,57.40741
EP02,Stimulus,answersEP02,ep02,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,Yes,Yes,42.59259,50,50.0,7.407409999999999,54,Boolean,2,N,1,7.407409999999999,,,42.59259
EP02,Stimulus,answersEP02,ep02,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,No,No,66.66667,50,50.0,16.666669999999996,54,Boolean,2,N,1,16.666669999999996,,,66.66667
EP02,Stimulus,answersEP02,ep02,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,Yes,Yes,33.33333,50,50.0,16.666670000000003,54,Boolean,2,N,1,16.666670000000003,,,33.33333
EP02,Stimulus,answersEP02,ep02,Q7,Did you at anytime reply to bot recommendations?,Q7,Never used or seen Bot,Never used or seen Bot,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP02,Stimulus,answersEP02,ep02,Q7,Did you at anytime reply to bot recommendations?,Q7,No,No,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP02,Stimulus,answersEP02,ep02,Q7,Did you at anytime reply to bot recommendations?,Q7,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,31.48148,16.66666667,16.66666667,14.81481333,54,Mult,6,Y,1,14.81481333,,,31.48148
EP02,Stimulus,answersEP02,ep02,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",18.51852,16.66666667,16.66666667,1.8518533299999973,54,Mult,6,Y,1,1.8518533299999973,,,18.51852
EP02,Stimulus,answersEP02,ep02,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",14.81481,16.66666667,16.66666667,1.8518566700000019,54,Mult,6,Y,1,1.8518566700000019,,,14.81481
EP02,Stimulus,answersEP02,ep02,Q7,Did you at anytime reply to bot recommendations?,Q7,,__NA__,27.77778,16.66666667,16.66666667,11.111113329999998,54,Mult,6,Y,1,11.111113329999998,,,27.77778
EP03,Stimulus,answersEP03,ep03,Q1,How useful are bot recommendations as a PR author?,Q1,1,1,5.55556,20,20.0,14.44444,54,Likert,5,N,1,14.44444,,,5.55556
EP03,Stimulus,answersEP03,ep03,Q1,How useful are bot recommendations as a PR author?,Q1,2,2,12.96296,20,20.0,7.037039999999999,54,Likert,5,N,1,7.037039999999999,,,12.96296
EP03,Stimulus,answersEP03,ep03,Q1,How useful are bot recommendations as a PR author?,Q1,3,3,25.92593,20,20.0,5.925930000000001,54,Likert,5,N,1,5.925930000000001,,,25.92593
EP03,Stimulus,answersEP03,ep03,Q1,How useful are bot recommendations as a PR author?,Q1,4,4,38.88889,20,20.0,18.888890000000004,54,Likert,5,N,1,18.888890000000004,,,38.88889
EP03,Stimulus,answersEP03,ep03,Q1,How useful are bot recommendations as a PR author?,Q1,5,5,16.66667,20,20.0,3.33333,54,Likert,5,N,1,3.33333,,,16.66667
EP03,Stimulus,answersEP03,ep03,Q2,How useful are bot recommendations as a PR reviewer?,Q2,1,1,3.7037,20,20.0,16.2963,54,Likert,5,N,1,16.2963,,,3.7037
EP03,Stimulus,answersEP03,ep03,Q2,How useful are bot recommendations as a PR reviewer?,Q2,2,2,11.11111,20,20.0,8.88889,54,Likert,5,N,1,8.88889,,,11.11111
EP03,Stimulus,answersEP03,ep03,Q2,How useful are bot recommendations as a PR reviewer?,Q2,3,3,24.07407,20,20.0,4.074069999999999,54,Likert,5,N,1,4.074069999999999,,,24.07407
EP03,Stimulus,answersEP03,ep03,Q2,How useful are bot recommendations as a PR reviewer?,Q2,4,4,40.74074,20,20.0,20.740740000000002,54,Likert,5,N,1,20.740740000000002,,,40.74074
EP03,Stimulus,answersEP03,ep03,Q2,How useful are bot recommendations as a PR reviewer?,Q2,5,5,20.37037,20,20.0,0.3703700000000012,54,Likert,5,N,1,0.3703700000000012,,,20.37037
EP03,Stimulus,answersEP03,ep03,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,No,No,44.44444,50,50.0,5.55556,54,Boolean,2,N,1,5.55556,,,44.44444
EP03,Stimulus,answersEP03,ep03,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,Yes,Yes,55.55556,50,50.0,5.55556,54,Boolean,2,N,1,5.55556,,,55.55556
EP03,Stimulus,answersEP03,ep03,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,No,No,68.51852,50,50.0,18.518519999999995,54,Boolean,2,N,1,18.518519999999995,,,68.51852
EP03,Stimulus,answersEP03,ep03,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,Yes,Yes,31.48148,50,50.0,18.51852,54,Boolean,2,N,1,18.51852,,,31.48148
EP03,Stimulus,answersEP03,ep03,Q7,Did you at anytime reply to bot recommendations?,Q7,Never used or seen Bot,Never used or seen Bot,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP03,Stimulus,answersEP03,ep03,Q7,Did you at anytime reply to bot recommendations?,Q7,No,No,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP03,Stimulus,answersEP03,ep03,Q7,Did you at anytime reply to bot recommendations?,Q7,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,29.62963,16.66666667,16.66666667,12.962963329999997,54,Mult,6,Y,1,12.962963329999997,,,29.62963
EP03,Stimulus,answersEP03,ep03,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",24.07407,16.66666667,16.66666667,7.4074033299999975,54,Mult,6,Y,1,7.4074033299999975,,,24.07407
EP03,Stimulus,answersEP03,ep03,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",16.66667,16.66666667,16.66666667,3.3299999984137685e-06,54,Mult,6,Y,1,3.3299999984137685e-06,,,16.66667
EP03,Stimulus,answersEP03,ep03,Q7,Did you at anytime reply to bot recommendations?,Q7,,__NA__,22.22222,16.66666667,16.66666667,5.555553329999999,54,Mult,6,Y,1,5.555553329999999,,,22.22222
EP04,Stimulus,answersEP04,ep04,Q1,How useful are bot recommendations as a PR author?,Q1,1,1,3.7037,20,20.0,16.2963,54,Likert,5,N,1,16.2963,,,3.7037
EP04,Stimulus,answersEP04,ep04,Q1,How useful are bot recommendations as a PR author?,Q1,2,2,9.25926,20,20.0,10.74074,54,Likert,5,N,1,10.74074,,,9.25926
EP04,Stimulus,answersEP04,ep04,Q1,How useful are bot recommendations as a PR author?,Q1,3,3,24.07407,20,20.0,4.074069999999999,54,Likert,5,N,1,4.074069999999999,,,24.07407
EP04,Stimulus,answersEP04,ep04,Q1,How useful are bot recommendations as a PR author?,Q1,4,4,40.74074,20,20.0,20.740740000000002,54,Likert,5,N,1,20.740740000000002,,,40.74074
EP04,Stimulus,answersEP04,ep04,Q1,How useful are bot recommendations as a PR author?,Q1,5,5,22.22222,20,20.0,2.22222,54,Likert,5,N,1,2.22222,,,22.22222
EP04,Stimulus,answersEP04,ep04,Q2,How useful are bot recommendations as a PR reviewer?,Q2,1,1,5.55556,20,20.0,14.44444,54,Likert,5,N,1,14.44444,,,5.55556
EP04,Stimulus,answersEP04,ep04,Q2,How useful are bot recommendations as a PR reviewer?,Q2,2,2,11.11111,20,20.0,8.88889,54,Likert,5,N,1,8.88889,,,11.11111
EP04,Stimulus,answersEP04,ep04,Q2,How useful are bot recommendations as a PR reviewer?,Q2,3,3,27.77778,20,20.0,7.77778,54,Likert,5,N,1,7.77778,,,27.77778
EP04,Stimulus,answersEP04,ep04,Q2,How useful are bot recommendations as a PR reviewer?,Q2,4,4,37.03704,20,20.0,17.037039999999998,54,Likert,5,N,1,17.037039999999998,,,37.03704
EP04,Stimulus,answersEP04,ep04,Q2,How useful are bot recommendations as a PR reviewer?,Q2,5,5,18.51852,20,20.0,1.4814800000000012,54,Likert,5,N,1,1.4814800000000012,,,18.51852
EP04,Stimulus,answersEP04,ep04,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,No,No,44.44444,50,50.0,5.55556,54,Boolean,2,N,1,5.55556,,,44.44444
EP04,Stimulus,answersEP04,ep04,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,Yes,Yes,55.55556,50,50.0,5.55556,54,Boolean,2,N,1,5.55556,,,55.55556
EP04,Stimulus,answersEP04,ep04,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,No,No,61.11111,50,50.0,11.111109999999996,54,Boolean,2,N,1,11.111109999999996,,,61.11111
EP04,Stimulus,answersEP04,ep04,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,Yes,Yes,38.88889,50,50.0,11.111109999999996,54,Boolean,2,N,1,11.111109999999996,,,38.88889
EP04,Stimulus,answersEP04,ep04,Q7,Did you at anytime reply to bot recommendations?,Q7,Never used or seen Bot,Never used or seen Bot,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP04,Stimulus,answersEP04,ep04,Q7,Did you at anytime reply to bot recommendations?,Q7,No,No,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP04,Stimulus,answersEP04,ep04,Q7,Did you at anytime reply to bot recommendations?,Q7,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,29.62963,16.66666667,16.66666667,12.962963329999997,54,Mult,6,Y,1,12.962963329999997,,,29.62963
EP04,Stimulus,answersEP04,ep04,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",20.37037,16.66666667,16.66666667,3.7037033299999997,54,Mult,6,Y,1,3.7037033299999997,,,20.37037
EP04,Stimulus,answersEP04,ep04,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",14.81481,16.66666667,16.66666667,1.8518566700000019,54,Mult,6,Y,1,1.8518566700000019,,,14.81481
EP04,Stimulus,answersEP04,ep04,Q7,Did you at anytime reply to bot recommendations?,Q7,,__NA__,27.77778,16.66666667,16.66666667,11.111113329999998,54,Mult,6,Y,1,11.111113329999998,,,27.77778
EP05,Stimulus,answersEP05,ep05,Q1,How useful are bot recommendations as a PR author?,Q1,1,1,5.55556,20,20.0,14.44444,54,Likert,5,N,1,14.44444,,,5.55556
EP05,Stimulus,answersEP05,ep05,Q1,How useful are bot recommendations as a PR author?,Q1,2,2,12.96296,20,20.0,7.037039999999999,54,Likert,5,N,1,7.037039999999999,,,12.96296
EP05,Stimulus,answersEP05,ep05,Q1,How useful are bot recommendations as a PR author?,Q1,3,3,29.62963,20,20.0,9.629629999999999,54,Likert,5,N,1,9.629629999999999,,,29.62963
EP05,Stimulus,answersEP05,ep05,Q1,How useful are bot recommendations as a PR author?,Q1,4,4,37.03704,20,20.0,17.037039999999998,54,Likert,5,N,1,17.037039999999998,,,37.03704
EP05,Stimulus,answersEP05,ep05,Q1,How useful are bot recommendations as a PR author?,Q1,5,5,14.81481,20,20.0,5.18519,54,Likert,5,N,1,5.18519,,,14.81481
EP05,Stimulus,answersEP05,ep05,Q2,How useful are bot recommendations as a PR reviewer?,Q2,1,1,7.40741,20,20.0,12.592590000000001,54,Likert,5,N,1,12.592590000000001,,,7.40741
EP05,Stimulus,answersEP05,ep05,Q2,How useful are bot recommendations as a PR reviewer?,Q2,2,2,14.81481,20,20.0,5.18519,54,Likert,5,N,1,5.18519,,,14.81481
EP05,Stimulus,answersEP05,ep05,Q2,How useful are bot recommendations as a PR reviewer?,Q2,3,3,33.33333,20,20.0,13.333329999999997,54,Likert,5,N,1,13.333329999999997,,,33.33333
EP05,Stimulus,answersEP05,ep05,Q2,How useful are bot recommendations as a PR reviewer?,Q2,4,4,31.48148,20,20.0,11.481480000000001,54,Likert,5,N,1,11.481480000000001,,,31.48148
EP05,Stimulus,answersEP05,ep05,Q2,How useful are bot recommendations as a PR reviewer?,Q2,5,5,12.96296,20,20.0,7.037039999999999,54,Likert,5,N,1,7.037039999999999,,,12.96296
EP05,Stimulus,answersEP05,ep05,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,No,No,55.55556,50,50.0,5.55556,54,Boolean,2,N,1,5.55556,,,55.55556
EP05,Stimulus,answersEP05,ep05,Q5,Did you know that you can give feedback on bot recommendations by replying to them?,Q5,Yes,Yes,44.44444,50,50.0,5.55556,54,Boolean,2,N,1,5.55556,,,44.44444
EP05,Stimulus,answersEP05,ep05,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,No,No,68.51852,50,50.0,18.518519999999995,54,Boolean,2,N,1,18.518519999999995,,,68.51852
EP05,Stimulus,answersEP05,ep05,Q6,Did you know that your replies to bot recommendations are reviewed by the recommendation authors?,Q6,Yes,Yes,31.48148,50,50.0,18.51852,54,Boolean,2,N,1,18.51852,,,31.48148
EP05,Stimulus,answersEP05,ep05,Q7,Did you at anytime reply to bot recommendations?,Q7,Never used or seen Bot,Never used or seen Bot,3.7037,16.66666667,16.66666667,12.962966670000002,54,Mult,6,Y,1,12.962966670000002,,,3.7037
EP05,Stimulus,answersEP05,ep05,Q7,Did you at anytime reply to bot recommendations?,Q7,No,No,1.85185,16.66666667,16.66666667,14.81481667,54,Mult,6,Y,1,14.81481667,,,1.85185
EP05,Stimulus,answersEP05,ep05,Q7,Did you at anytime reply to bot recommendations?,Q7,Wasn't aware that replying to Bot's comment is of any value,Wasn't aware that replying to Bot's comment is of any value,37.03704,16.66666667,16.66666667,20.370373329999996,54,Mult,6,Y,1,20.370373329999996,,,37.03704
EP05,Stimulus,answersEP05,ep05,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide feedback to Bot","Yes, replied to provide feedback to Bot",16.66667,16.66666667,16.66666667,3.3299999984137685e-06,54,Mult,6,Y,1,3.3299999984137685e-06,,,16.66667
EP05,Stimulus,answersEP05,ep05,Q7,Did you at anytime reply to bot recommendations?,Q7,"Yes, replied to provide update to the PR reviewers","Yes, replied to provide update to the PR reviewers",14.81481,16.66666667,16.66666667,1.8518566700000019,54,Mult,6,Y,1,1.8518566700000019,,,14.81481
EP05,Stimulus,answersEP05,ep05,Q7,Did you at anytime reply to bot recommendations?,Q7,,__NA__,25.92593,16.66666667,16.66666667,9.25926333,54,Mult,6,Y,1,9.25926333,,,25.92593
EP06,Stimulus,answersEP06,ep06,Q1,How useful are bot recommendations as a PR author?,Q1,1,1,5.55556,20,20.0,14.44444,54,Likert,5,N,1,14.44444,,,5.55556
EP06,Stimulus,answersEP06,ep06,Q1,How useful are bot recommendations as a PR author?,Q1,2,2,11.11111,20,20.0,8.88889,54,Likert,5,N,1,8.88889,,,11.11111
EP06,Stimulus,answersEP06,ep06,Q1,How useful are bot recommendations as a PR author?,Q1,3,3,25.92593,20,20.0,5.925930000000001,54,Likert,5,N,1,5.925930000000001,,,25.92593
EP06,Stimulus,answersEP06,ep06,Q1,How useful are bot recommendations as a PR author?,Q1,4,4,37.03704,20,20.0,17.037039999999998,54,Likert,5,N,1,17.037039999999998,,,37.03704
EP06,Stimulus,answersEP06,ep06,Q1,How useful are bot recommendations as a PR author?,Q1,5,5,20.37037,20,20.0,0.3703700000000012,54,Likert,5,N,1,0.3703700000000012,,,20.37037
EP06,Stimulus,answersEP06,ep06,Q2,How useful are bot recommendations as a PR reviewer?,Q2,1,1,7.40741,20,20.0,12.592590000000001,54,Likert,5,N,1,12.592590000000001,,,7.40741
EP06,Stimulus,answersEP06,ep06,Q2,How useful are bot recommendations as a PR reviewer?,Q2,2,2,12.96296,20,20.0,7.037039999999999,54,Likert,5,N,1,7.037039999999999,,,12.96296
